epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2327,0.85509,3.46641,1.2397,0.60389,0.39596,0.44989,0.36031,0.69785,1.57655,1.14673,0.000194367,0.000194367,0.000194367
2,32.0333,0.81698,2.04928,1.19651,0.77649,0.65776,0.69486,0.5388,0.68949,1.07845,1.161,0.000386502,0.000386502,0.000386502
3,46.1929,0.80342,1.67933,1.16491,0.62785,0.68618,0.70769,0.54674,0.8088,1.13985,1.20225,0.000574757,0.000574757,0.000574757
4,60.3068,0.78047,1.44439,1.1364,0.63889,0.76203,0.77173,0.60476,0.68889,0.89641,1.10253,0.000570536,0.000570536,0.000570536
5,74.399,0.7533,1.2755,1.12236,0.7246,0.75155,0.80489,0.63987,0.68703,0.76028,1.09275,0.000564715,0.000564715,0.000564715
6,88.4416,0.73652,1.12106,1.10568,0.59842,0.72127,0.71188,0.57516,0.67516,1.41987,1.08657,0.000558894,0.000558894,0.000558894
7,103.014,0.71803,1.01854,1.08754,0.83425,0.82371,0.8445,0.67757,0.63242,0.71217,1.0348,0.000553073,0.000553073,0.000553073
8,117.189,0.69296,0.93574,1.07248,0.6952,0.83285,0.79434,0.65638,0.6082,0.77114,1.0155,0.000547252,0.000547252,0.000547252
9,131.017,0.67822,0.87605,1.06194,0.86567,0.74648,0.85169,0.6957,0.66066,0.69004,1.0435,0.00054143,0.00054143,0.00054143
10,144.743,0.67938,0.8364,1.0724,0.86247,0.81646,0.85576,0.69991,0.60316,0.59266,1.00285,0.000535609,0.000535609,0.000535609
11,159.228,0.66734,0.76293,1.06182,0.81663,0.83159,0.89677,0.73223,0.63039,0.69693,1.03488,0.000529788,0.000529788,0.000529788
12,173.34,0.64954,0.74944,1.05881,0.79287,0.82486,0.87412,0.71703,0.62023,0.76468,1.01386,0.000523967,0.000523967,0.000523967
13,187.558,0.61901,0.69555,1.03538,0.87343,0.84863,0.90041,0.73531,0.60033,0.59638,1.01059,0.000518146,0.000518146,0.000518146
14,201.633,0.63617,0.67724,1.04745,0.88729,0.81764,0.88721,0.74539,0.56436,0.60643,0.98483,0.000512324,0.000512324,0.000512324
15,215.503,0.62201,0.64826,1.03086,0.89704,0.89853,0.92715,0.7559,0.59821,0.46672,1.01654,0.000506503,0.000506503,0.000506503
16,229.328,0.61604,0.62536,1.02887,0.90056,0.82003,0.92499,0.75622,0.5933,0.50869,0.99473,0.000500682,0.000500682,0.000500682
17,243.195,0.60903,0.60321,1.03556,0.93385,0.82888,0.9174,0.76875,0.57564,0.51117,0.97316,0.000494861,0.000494861,0.000494861
18,257.017,0.59131,0.59561,1.0236,0.87642,0.87778,0.90748,0.75445,0.56379,0.50089,0.97701,0.00048904,0.00048904,0.00048904
19,270.987,0.59004,0.56988,1.01641,0.89973,0.86388,0.93433,0.7813,0.5547,0.47572,0.97123,0.000483218,0.000483218,0.000483218
20,284.899,0.57147,0.54274,1.00228,0.76878,0.871,0.89257,0.72714,0.60171,0.58575,0.99188,0.000477397,0.000477397,0.000477397
21,298.804,0.57949,0.54168,1.00659,0.92999,0.85694,0.9249,0.77474,0.51899,0.45902,0.94378,0.000471576,0.000471576,0.000471576
22,312.665,0.56491,0.51408,1.00621,0.92345,0.87235,0.92121,0.77689,0.52824,0.44128,0.95309,0.000465755,0.000465755,0.000465755
23,326.542,0.55832,0.51146,1.00122,0.85179,0.91513,0.93154,0.75538,0.59166,0.48936,1.00884,0.000459934,0.000459934,0.000459934
24,340.606,0.55281,0.49461,1.00603,0.86287,0.88718,0.89707,0.74359,0.57021,0.49455,0.97298,0.000454112,0.000454112,0.000454112
25,354.489,0.54131,0.49171,0.99329,0.87583,0.89807,0.92232,0.77327,0.53694,0.47149,0.95414,0.000448291,0.000448291,0.000448291
26,368.656,0.544,0.48499,0.98807,0.913,0.8938,0.93997,0.77403,0.55648,0.43055,0.97497,0.00044247,0.00044247,0.00044247
27,382.717,0.53272,0.47967,0.9902,0.97027,0.86494,0.93593,0.78115,0.52821,0.4434,0.95261,0.000436649,0.000436649,0.000436649
28,396.83,0.52429,0.44303,0.9853,0.9141,0.89562,0.91776,0.77392,0.52765,0.45246,0.95778,0.000430828,0.000430828,0.000430828
29,411.06,0.51827,0.4513,0.9826,0.93756,0.88138,0.94466,0.80534,0.51764,0.40696,0.94486,0.000425006,0.000425006,0.000425006
30,425.23,0.53289,0.45032,0.98997,0.94359,0.92225,0.95635,0.81018,0.51062,0.38232,0.9366,0.000419185,0.000419185,0.000419185
31,439.072,0.51145,0.43857,0.98273,0.9172,0.90814,0.93906,0.78833,0.5326,0.40091,0.95628,0.000413364,0.000413364,0.000413364
32,452.987,0.51734,0.42974,0.98117,0.91041,0.91662,0.94005,0.7873,0.51117,0.39014,0.93963,0.000407543,0.000407543,0.000407543
33,466.948,0.50522,0.42083,0.9727,0.89881,0.918,0.93458,0.78045,0.53318,0.41742,0.96844,0.000401722,0.000401722,0.000401722
34,480.756,0.49337,0.41475,0.97355,0.91069,0.91685,0.93861,0.80295,0.49931,0.36159,0.93276,0.0003959,0.0003959,0.0003959
35,494.601,0.48777,0.41607,0.96899,0.94009,0.89592,0.94398,0.81803,0.48871,0.37175,0.93551,0.000390079,0.000390079,0.000390079
36,508.764,0.49698,0.41741,0.97172,0.91387,0.91996,0.94353,0.80168,0.53578,0.41451,0.98059,0.000384258,0.000384258,0.000384258
37,522.731,0.48843,0.40531,0.96826,0.91632,0.89866,0.94235,0.81352,0.50717,0.40263,0.93882,0.000378437,0.000378437,0.000378437
38,536.625,0.47943,0.40208,0.9669,0.94622,0.89695,0.94094,0.79654,0.51614,0.37168,0.9528,0.000372616,0.000372616,0.000372616
39,550.534,0.49045,0.40223,0.97655,0.95207,0.90625,0.93113,0.81348,0.49152,0.39171,0.93161,0.000366794,0.000366794,0.000366794
40,564.623,0.47081,0.39005,0.95958,0.92412,0.90698,0.94805,0.82334,0.4745,0.38471,0.91746,0.000360973,0.000360973,0.000360973
41,578.606,0.46604,0.39134,0.95675,0.92386,0.90849,0.94211,0.81358,0.48818,0.38735,0.93335,0.000355152,0.000355152,0.000355152
42,592.319,0.4538,0.37076,0.95601,0.95943,0.88262,0.92355,0.8021,0.48693,0.40538,0.93618,0.000349331,0.000349331,0.000349331
43,606.018,0.46361,0.37509,0.95751,0.94066,0.92208,0.94971,0.82914,0.46771,0.34682,0.9274,0.00034351,0.00034351,0.00034351
44,619.856,0.46955,0.38167,0.96039,0.95163,0.88825,0.91627,0.79358,0.48743,0.39281,0.94259,0.000337688,0.000337688,0.000337688
45,633.879,0.46095,0.377,0.95332,0.95176,0.92156,0.94942,0.82282,0.47375,0.35217,0.92277,0.000331867,0.000331867,0.000331867
46,647.703,0.44026,0.35948,0.94804,0.95072,0.89702,0.94247,0.8284,0.45875,0.35778,0.91881,0.000326046,0.000326046,0.000326046
47,661.89,0.43184,0.35859,0.94319,0.90331,0.90087,0.94006,0.82472,0.44605,0.39956,0.91592,0.000320225,0.000320225,0.000320225
48,675.918,0.43476,0.35033,0.94214,0.94932,0.89047,0.92631,0.81679,0.45217,0.3681,0.91765,0.000314404,0.000314404,0.000314404
49,689.736,0.42662,0.35106,0.9412,0.93783,0.90751,0.92739,0.82148,0.44874,0.36527,0.91056,0.000308582,0.000308582,0.000308582
50,703.634,0.43263,0.34582,0.94175,0.92678,0.93344,0.94877,0.82864,0.47249,0.37047,0.93567,0.000302761,0.000302761,0.000302761
51,717.522,0.4266,0.33767,0.93972,0.9482,0.91762,0.94084,0.82244,0.45027,0.33391,0.92385,0.00029694,0.00029694,0.00029694
52,731.59,0.4216,0.34127,0.93954,0.94,0.90569,0.92368,0.81268,0.45788,0.38128,0.91725,0.000291119,0.000291119,0.000291119
53,745.654,0.4117,0.33741,0.9334,0.93402,0.91995,0.93843,0.81351,0.46233,0.35689,0.92336,0.000285298,0.000285298,0.000285298
54,759.462,0.41298,0.33796,0.94045,0.90741,0.91909,0.9345,0.81058,0.46037,0.34386,0.92334,0.000279476,0.000279476,0.000279476
55,773.573,0.40665,0.33549,0.93291,0.93862,0.92676,0.93127,0.8151,0.44682,0.34175,0.9141,0.000273655,0.000273655,0.000273655
56,787.427,0.39894,0.32258,0.9331,0.93816,0.93412,0.94898,0.82903,0.44496,0.33677,0.90842,0.000267834,0.000267834,0.000267834
57,801.421,0.39838,0.32493,0.92808,0.94616,0.9138,0.94709,0.82584,0.45434,0.36164,0.92209,0.000262013,0.000262013,0.000262013
58,815.398,0.40219,0.31996,0.93194,0.93549,0.91076,0.94038,0.82079,0.44501,0.34552,0.91133,0.000256192,0.000256192,0.000256192
