epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.75439,1.89339,3.4527,1.75905,0.04494,0.30769,0.03107,0.01073,1.45559,3.05119,1.5773,0,0,0
2,3.51961,1.49574,3.36567,1.57903,0.05056,0.34615,0.03459,0.01188,1.41959,3.03303,1.55888,1.9802e-05,1.9802e-05,1.9802e-05
3,5.32015,1.66348,3.37787,1.65982,0.05464,0.38462,0.0391,0.01547,1.36831,2.98741,1.5365,3.9208e-05,3.9208e-05,3.9208e-05
4,7.07706,1.56808,3.33808,1.65022,0.06452,0.46154,0.04972,0.02573,1.31314,2.93291,1.51293,5.8218e-05,5.8218e-05,5.8218e-05
5,8.80546,1.41903,3.20389,1.55676,0.07292,0.53846,0.06334,0.03288,1.24413,2.85902,1.47894,7.6832e-05,7.6832e-05,7.6832e-05
6,10.5669,1.49661,3.13439,1.58096,0.06604,0.53846,0.084,0.03808,1.17056,2.77138,1.45366,9.505e-05,9.505e-05,9.505e-05
7,12.3083,1.50071,3.121,1.54049,0.0766,0.69231,0.23514,0.06671,1.13869,2.66888,1.43872,0.000112872,0.000112872,0.000112872
8,14.0578,1.44773,2.9004,1.48318,0.24836,0.54657,0.31189,0.11515,1.12401,2.54981,1.4243,0.000130298,0.000130298,0.000130298
9,15.8045,1.34786,2.86602,1.40617,0.47323,0.51863,0.53817,0.20311,1.13741,2.38992,1.38781,0.000147328,0.000147328,0.000147328
10,17.5562,1.11513,2.61652,1.3441,0.58771,0.54856,0.60533,0.26919,1.14235,2.2112,1.37121,0.000163962,0.000163962,0.000163962
11,19.2894,1.25387,2.42999,1.37162,0.56369,0.73077,0.7325,0.33252,1.13656,2.00104,1.34771,0.0001802,0.0001802,0.0001802
12,21.0589,1.1428,2.31229,1.27801,0.58587,0.88462,0.78076,0.37422,1.11668,1.82555,1.33626,0.000196042,0.000196042,0.000196042
13,22.7697,1.12791,1.91835,1.4233,0.66612,0.7674,0.8185,0.44199,1.07944,1.64555,1.3183,0.000211488,0.000211488,0.000211488
14,24.5127,1.08652,1.95426,1.16971,0.68487,0.83611,0.85546,0.48605,1.03829,1.49127,1.30347,0.000226538,0.000226538,0.000226538
15,26.2076,1.04508,1.56617,1.33341,0.73851,0.84615,0.88664,0.53614,1.01406,1.34436,1.30971,0.000241192,0.000241192,0.000241192
16,27.861,1.03686,1.5242,1.35127,0.86153,0.76923,0.87596,0.55092,1.00307,1.16498,1.32506,0.00025545,0.00025545,0.00025545
17,29.513,1.01441,1.26823,1.40715,0.86945,0.96154,0.91028,0.56875,0.99872,1.03174,1.3443,0.000269312,0.000269312,0.000269312
18,31.1125,0.96854,1.16948,1.20685,0.86945,0.96154,0.91028,0.56875,0.99872,1.03174,1.3443,0.000282778,0.000282778,0.000282778
